가게이름,날짜,리뷰,평점,주소,분류
만리성,,탕수육은 거의 냉동식품 수준. 소스도 쫄고 쫄아서 떡이 된것처럼 뻑뻑. 방금 튀겨서 주는게 아니고 어제 튀겨 딱딱한 탕수육이 좋다면 추천. 좋은점은 서빙보시는분들이 친절한거랑 엄청 음식이 빨리 나온다는점.,1,서울 종로구 대학로12길 61,북경오리
만리성,,다른건 모르겠고 볶음밥 진짜 맛없다. 짜장이 짜고 맛없음. 6천원이 아깝다. 자리 넓고 눈치 안주고 직원들 친절한 편이어서 그나마 4점줌. ,2,서울 종로구 대학로12길 61,북경오리
만리성,,여기 분위기도 좋고 깔끔합니다 ㅋㅋㅋ,5,서울 종로구 대학로12길 61,북경오리
베이징덕,2020.10.05.,보통이에요,3,서울 강남구 논현로 874,북경오리
베이징덕,2019.08.31.,"설날부터 오리 금액이 71,000원으로 바꼈다는데 설날 이후 블로그들에 66,000원임. 먼 상황?",1,서울 강남구 논현로 874,북경오리
베이징덕,2019.07.11.,"중국 종업원이 안에 빈 자리 있는데도 입구에 앉으라 하는 등 불친절하고 의사 소통이 꽉 막혀 쩝, 바로 나옴~ ㅠㅠ",1,서울 강남구 논현로 874,북경오리
베이징덕,2018.12.25.,오리고기가 맛없기 쉽지 않은데.... 진짜 별로에요 진짜 ,1,서울 강남구 논현로 874,북경오리
하오,2019.09.29.,가성비 안 나쁨..근데 직원 불친절.. ,3,서울 강남구 삼성로85길 43 호성빌딩 4층,북경오리
하오,2019.04.15.,북경오리는 별로였어요,3,서울 강남구 삼성로85길 43 호성빌딩 4층,북경오리
천외천,2020.11.16.,오리구이는 맛있었는데 오리전골은 별로에요 차라리 오리백숙같은 느낌으로 나오면 좋을텐데 구이따로 전골따로 판다면 전골은 주문안할듯,3,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.11.07.,진짜 대박 맛집!! 전병에 오리랑 파채랑 춘장넣고싸먹으면 이세상 맛이 아니에요 'ㅇ' 오리탕도 맛있어요 또 먹고싶다,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.08.14.,최고에요 맛도 양도 좋아요,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.07.17.,동네 사시던 분이 하도 맛집이라고 가보라고 해서 마음은 먹고 있었는데 2명이 가서 먹기엔 부담이라 날잡고 약속만들어서 감 예전에 사가정에 있을땐 못가봤지만 새로 옮기고 나서는 좌석이 깔끔하고 단체별로 방에서 먹기 좋게 구획을 나누어 놨음 오리탕국물은 마늘을 많이 풀고 다시다를 좀 친 다음 뼈를 고아낸 듯한 맛이고 이 탕과 오리 겉쪽의 살 부분을 양념을 발라...,3,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.03.17.,면목동에 있을때도 가족들이랑 자주 갔었어요~ 오리고기 최애맛집! 상봉동 이전하면서 시설이 훨씬 좋아졌네여 룸도 있고 칸막이도 세워주시고.. 좌식도 따로있더라구요 단체모임하기 좋을거같아여,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.03.14.,가격이 좀 부담스러워 보여서 못 들어가다가 친구들이랑 와봤는데 너무 맛있고 코스라 생각보다 너무 배불러서 가성비 괜찮았어요ㅋㅋ 술 먹을 거 다 먹고 인당 2만원 안 나온 듯..? 무튼 반찬도 그렇고 특히 전병이 좋았어요 담주에도 가려구요 ㅋㅋ 예약필수입니다 그때도 못 먹을뻔...,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2020.02.18.,수유역에 오래 하시다 갑자기 사라져서 슬펏는데 여기서 재개업하셨군요. 친근들도 자주가고 회사 회식도 하던덴데. 한번 가야겠어요. 먹고싶네요. ,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2019.09.04.,오리구이 맛있게 먹구와서 리뷰 남겨요! 벽에 붙어있는대로 춘장소스 찍어서 전병에 싸먹는거 완전 맛있었구~ 원래 치킨도 뼈있는거 싫어해서 순살만 먹는데 오리 다리 너무 맛있어서 잡고 뜯었어여;; 마지막은 오리탕에 칼국수 사리! 크으 사~실은 먹고온지 며칠 됐는데 갑자기 또 생각나서 리뷰 쓰는중... 가게 옮기신다구 그랬는데.. 그 전에 한번 더 가서 정확히 ...,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2019.07.08.,정말 맛있는데 동네 토박이들도 잘 모르는 맛집이라서 아쉬움. 북경오리+ 오리탕까지 나오는데 진짜 맛있습니다.  양도 많아서 3인 가족이 먹으면 배 터짐. 4명이서 먹기에 적당할꺼 같음. 포장도 가능해서 좋아요 ㅋ ,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2019.07.05.,정말 맛있습니다. 특히 전병이랑 마지막 코스인 탕이 정말 맛있습니다 반찬도 그렇구요.,5,서울 중랑구 봉우재로33길 12 1층,북경오리
천외천,2018.01.12.,"10년 이상 된 오래된 단골입니다. 친절하고 가격 합리적이고, 같이 나오는 오리탕도 정말 시원하고 맛있어요. 가족 단위로 가셔도 좋습니다. 저는 정말 괜찮은 곳이라 생각하는데 별점이 낮은 것 같아서 일부러 이렇게 리뷰씁니다.",5,서울 중랑구 봉우재로33길 12 1층,북경오리
동화마을연경,2020.04.26.,1점도 아까움 5명이 근처에서 일이 끝나서 점심식사하러 감 짬뽕 볶음밥 잡채밥 세가지 시켰는데 셋다 빵점  돈이 아까워서 먹고 나왔네요  공짜로 준다면 절대로 안먹을 그 맛ㅠㅠ 맛도 빵점이지만 재료도 빵점 맛탱이 간 냉동 수산물에 볶음밥도 냉동 볶음밥 데워먹는 것과 똑같은 맛이네요    ,1,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2020.01.21.,깐풍기 꿔바로우 짬뽕 먹었음. 요리 2개 맛 괜찮았고 꿔바로우가 더 맛있음. 주문이 들어간 지가 한참 되었는데도 가장 금방 나와야 할 짬뽕이 안나옴... 주문누락이었는듯... 짬뽕도 국물 괜찮았음,3,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2020.01.02.,정말 맛 없어서 올린 댓글은 첨여 시원한 짜장면 짠 볶음밥 별  한개도 아까운 집 분노의 댓글 참여임,1,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2019.12.19.,1점도 아까움 반년사이 메뉴질이 확 떨어짐 백짜장에 춘장 콩맛향이 전혀 안나서 몇번이나 비벼도 밍밍하기 그지없음,1,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2019.03.23.,별로예요,1,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2018.02.03.,맛없어. 탕수육 맛집,1,"인천 중구 차이나타운로 8 1,2층",북경오리
동화마을연경,2018.01.23.,좋아요,4,"인천 중구 차이나타운로 8 1,2층",북경오리
마오,2020.08.06.,최고예요,5,서울 서초구 명달로 93,북경오리
마오,2019.12.26.,1점도 너무 많이 줌. 서비스 자세가 안되었고 깨진 접시에 주길래 말했더니 자기들은 오랜된 그릇 다 쓴다나? 깨진 접시 파편먹고 다치면 누구 책임? 지 편한데로 하려면 장사하지마,1,서울 서초구 명달로 93,북경오리
마오,2019.12.26.,크리스마스에 부모님 모시고 좋은식사 대접하러 간건데 진짜 화가난다..사장님 직원들 교육좀 제대로 시키셔야 할듯요 키크고 안경쓴 중국인 여자직원은 내내 인상쓰고 신경질내며 불친절하게굴고 뭐 부탁해도 갖다주지도 않아 결국 다른 직원 또 불러야했구요 바로 옆에서 손님이 식사중인데 다먹은 그릇 쾅쾅 깨듯이 치우고 한숨 푹푹 쉬질 않나 음식 나올때까지 수저랑 자스민...,1,서울 서초구 명달로 93,북경오리
마오,2019.09.02.,그냥 그래요,2,서울 서초구 명달로 93,북경오리
마오,2019.07.25.,정말 비추에요!,1,서울 서초구 명달로 93,북경오리
마오,2019.07.14.,북경오리 ㅠㅠ 기대했는데 육즙이라던가 무언가 부족해서 퍽퍽했던것 같아요,3,서울 서초구 명달로 93,북경오리
마오,2019.07.14.,북경오리라는 새로운 요리를 시도해보기 좋은곳 그러나 곁들이는 파가 너무 매워 나중에 속이 아팠음,3,서울 서초구 명달로 93,북경오리
마오,2019.03.10.,북경오리는 양이 작음 음식은 다 맛있음,5,서울 서초구 명달로 93,북경오리
마오,2018.06.22.,맛있어요..,5,서울 서초구 명달로 93,북경오리
연화산,2020.08.22.,쿠팡이츠로 배달가서 보고 말았다. 면이 땅에 떨어졌는데 그걸 그냥 다시 주워담음.... 나도 옛날에 손님으로 몇번 왔었는데... 헐..,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2019.12.28.,"여기 단골이에요 ㅎㅎ 쟁반짜장, 짬뽕 맛있음",5,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2019.10.04.,별로예요,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2018.10.09.,보통이에요,3,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2017.11.26.,맛은 좋아요. 서비스가 별로네요. 주문받는 데 너무 퉁명스러웠어요.,3,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2017.10.22.,볶음밥 배달시켜 먹었는데 먹고 소화가 안되네요. 첨에 완전 뜨겁지 않아서 좀 그랬는데 반찬이랑 국도 엄청 짜고 같이 먹은 친구도 자장면 먹었는데 친구도 먹고 배가 이상하대요. 줄서서 먹는데라던데 배달이라 대충해준건지 짜증나네요,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2017.10.07.,꿔바로우  짜장  짬뽕 등등이 뛰어난 중국집  입맛에 따른 호불호가 가능하지만  서울 시내 최고의 중국집중 한 군데,5,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,2016.03.20.,좋아요,4,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,아주 맛있게 먹었어요 가격도 그정도면 싼편이고. 우린코스요리35000원짜리먹었는데 어느요리하나 뒤지지 않고 맛있었어요,5,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,홈페이지 가격이랑 완전 틀려요 ~~~ 양도 작고 너무 비쌈 비추 ~~~~~,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,짜샤이  완전 쉬어서  배달와서 항의전화해도  별로  미안해하지 않는 집....몇년전에는 맛있었는데  이제는   저질음식중  대표라 해도 무방함. 비추함~,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,니미럴 짱깨 팔아서 재벌 되겠다 찹쌀 탕수육 17000원에 꼴랑 10조각 갔다 주네 ...,1,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,주인장이 바뀌고 나서는 맛이 없어졌어요 ㅜㅜ,3,서울 강남구 논현로 166 풍양빌딩,북경오리
연화산,,맛잇는 집..친절함..가격적당^^,4,서울 강남구 논현로 166 풍양빌딩,북경오리
포시즌스호텔 유유안,2020.11.22.,직원분들이 너무 분주하게 움직여서 여유로운 식사에 조금 방해가 됐지만..분위기도 좋...,4,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.11.17.,배부르게 먹을만한 베이징덕 테이스트 코스. 기대보단 음식 맛은 쏘쏘였지만 포만감이 ...,4,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.10.22.,샤오롱바오 좋아해서 여러곳 가봤는데 진짜 유유안이 제일 맛있음,5,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.08.21.,베이징덕의 크리스피한 껍질과 고소한 고기가 맛있었어요 대나무어쩌고 하는 스프도 굿이었어요,4,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.08.09.,베이징덕 최고,4,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.07.11.,진짜 맛있어요~ 또 생각나네요.,5,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.05.11.,또먹고싶네 ㅠㅠ,5,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2020.02.04.,맛도 좋고 서비스도 최고입니다. 그런데 공식 홈페이지 메뉴판 업뎃이 늦어요...,5,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2019.11.15.,Michelin Guide ⭐️ Chinese Esp. Dimsum,4,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2019.02.08.,보통이에요,3,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2018.09.16.,조금 아쉬워요,2,서울 종로구 새문안로 97 11층,북경오리
포시즌스호텔 유유안,2017.01.08.,베이징덕 반나리 8.0. 딤섬 점심에만,5,서울 종로구 새문안로 97 11층,북경오리
마오 이태원점,2020.08.22.,북경오리 대자 시켰는데 양이 적네요 그치만 꿔바로우나 짜장면은 맛있고 저렴한편입니다,3,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.12.18.,가격이 양 과 맛에비해 너무 비쌈. 맛은 그냥그래요,2,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.10.21.,와이프랑 간단하게 한잔하러갔던곳 ...재방문 의사 글쎄?,2,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.09.22.,음식점 갔다가 맛 없어서 화난 가게는 처음이에요 공짜로 줘도 맛있게 먹진 않을 정도...,1,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.09.10.,북경오리 보통 짜장 짬뽕은 동네보다 못한 수준,2,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.06.08.,북경오리 맛있어요,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2019.05.18.,직원들 태도 완전 불친절하고 사장님이 참 배가 불렀나봐요? 자기네들이 잘못한걸 손님...,1,서울 용산구 회나무로 57,북경오리
마오 이태원점,2018.06.27.,정갈 차이니즈,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2018.05.05.,별하나도 아깝습니다. 직원들이 어리버리하고 주방에 있는 사람들 중국인인지 중국말로 ...,1,서울 용산구 회나무로 57,북경오리
마오 이태원점,2017.03.17.,중간이상 가는 마오 베이징덕 볶음밥 맛있고 자리도 넓지만 외국이 많고 좀 어수선한 분위기,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2017.02.16.,좋아요,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.11.09.,최고예요,5,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.09.14.,보통이에요,3,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.06.18.,보통이에요,3,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.03.23.,좋아요,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.03.17.,좋아요,4,서울 용산구 회나무로 57,북경오리
마오 이태원점,2016.03.16.,베이징덕 대자(6.2만)와 둥베이 꿔바로우(1.9만). 경리단길 쭉 올라가다보면 길...,4,서울 용산구 회나무로 57,북경오리
마오 청담동점,2020.11.03.,어릴때부터 많이 가던덴데 정통은 아니지만 특유의 편안함이 있어요,3,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2020.08.01.,별로예요,1,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2020.05.16.,"단골집. 해물볶음밥, 해물볶음면 최고",5,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2020.04.06.,쏘쏘,3,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2019.11.17.,보통이에요,3,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2019.02.13.,양재점은 옛날부터 가서 좋아하지만 청담점은 서비스가 영 아닙니다. 1층 카운터보는 ...,1,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2017.04.16.,좋아요,4,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2017.02.15.,적당한 베이징덕,3,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2017.01.06.,Crispy Peking Duck,3,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,2016.11.05.,좋아요,4,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,,추천으로 방문하여 코스요리를먹었는데 요리가 나오는 도중 주방장은 밥먹으러 가버림.....,0,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,,북경오리와꿔바로우추천!!샤브샤브는별로였어요;;,4,서울 강남구 도산대로56길 17,북경오리
마오 청담동점,,마오 북경오리 맛있습니다. 4명이 가서 오리 소 사이즈에 자장면 볶음밥 같이먹으면 ...,4,서울 강남구 도산대로56길 17,북경오리
락희안 명지대본점,2020.11.25.,오래된 역사가 있는 락희안. 오목교점보다 여기가 낫다,4,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.11.17.,왜 평점이 높은지 이해가 안되는 수준! 흔한 동네 중국집...,2,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.11.03.,배달로만 먹었는데 괜찮았음,4,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.10.04.,모임으로 갔는데 너무 만족합니다. 특히 누룽지탕 치익~~소리는 너무 경쾌합니다! 짱짱!,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.08.12.,굿,4,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.07.31.,서울에서 가장 맛있는 중국집 중 한 곳,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.07.26.,튀김요리 굳,4,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.06.08.,"삼선짬뽕, 간짜장, 중화냉면, 꿔바로우 먹었는데 면이 별로였음. 나름의 매력이 있겠지만 소스나 국물하고 안어울리고 좀 따로 노는 느낌. 좀더 쫄깃 탱탱한 면발이 잘 어울릴 것 같음. 짬뽕, 짜장 전체적으로 조미료맛 안나고 순한 느낌이었음. 간이랑 맛 세고 자극적인 중화요리 먹고싶은 거면 비추천. 중화냉면은 땅콩소스가 엄청 많이 들어가는데 따로 줬다면 더 좋...",3,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2020.04.26.,맛은 있는데 아무리 주방에서 셰프님들이 힘들게 조은 요리 내주시면 뭐해요 서비스가 엉망인데.  아니면 주말엔 코스요리 안받는다고 하던가.. 여러분들은 단품만 드세요 비싼 코스요리 큰맘먹고 갔다가 서비스에 실망하고 옵니다. 코스요리 알아서 주셔야지 달라고 해야만 줍니다. 바빠서 오래걸리더라도 알아서 순서대로 갖다주시면 뭐가 걱정이겠어요. 요리류 다 나온다음에...,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.12.23.,"꿔바로우, 돌판해물누룽지 대박",5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.12.22.,3단 꿔바로우 맛 제대로. 느끼하지도 않고 부드러운 고기가 맛있다. 짬뽕도 면도 잘 어울리고 조미료를 쓰지않고 뒷맛도 깔끔하다. 손님 접다도 정성스럽고 만족스럽다. 또 와야지,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.10.18.,간짜장은 너무 짜고. 탕수육은 덜 튀겨진 느낌. ,3,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.09.21.,최고예요,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.08.11.,인생 탕수육을 여기서 만남. ㅜㅜ 이런 곳이 우리 동네에 있다니 ㅠㅠㅠㅠ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.06.23.,별로예요,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.03.14.,중식이란 이런것이다! 부모님도 대만족!!,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2019.03.14.,와 뭐 이런 맛집이 이런 곳에;; 완전 놀람 진짜 존맛탱 게다가 코스메뉴 가성비 뭐임! 대박 추천!,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2018.10.13.,"꿔바로우 말랑촉촉 맛있음. 짜장, 짬뽕도 훌륭함. 흑미,백미 등 잡곡을 섞어 만든 면발도 특색있음. 화학조미료를 안써서 한 입에 확 당기지는 않지만 식재료 본연에서 우러나는 맛이 느껴짐. 가격대비 양은 다소 적은 편임. 분위기 깔끔하고 사장님도 친절하심.",5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2018.06.03.,넘맛나요 고급진맛,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,2018.05.30.,보통이에요,3,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,"시어머님 생신기념으로 갔다가 민망해서 혼났습니다.원래 2층일하시는분들 친절하진않지만 이정도는 아니었는데,초등학생아들이 참으라네요.돈주고 먹는 고객에게 기분떨어지는 행동을 하는지 이해가 가지않습니다.",1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,몇년전엔 친절하고 좋았는데 요즘은 좀 띠껍게 대하는게 느껴짐...,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,하게 나오는 중국음식점이 있는지 저도 궁금합니다. 저에게 중국집 음식에 대해 신뢰는 준 집이기에 늘 안심하고 먹습니다. 그래서 단골들은 골수가 되는 집입니다. 왜 그런지는 가셔서 드셔보시면 됩니다.,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,"리플보니 이건 아니다 싶어 몇자 적습니다. 개인적으로 입맛이 아주 깐깐한 저로써는 ""러시안""이란 식당을 자주 이용하는 사람입니다. 왜? 저는 조미료가 들어가면 절대 안 먹습니다. 주인장이 고집스럽게 조미료와 한번 튀긴 기름도 절대 다시 쓰지 않는 그런 사람입니다. 그래서 믿고 먹는 사람이지요. 솔직히 말씀드리자면 대한민국에서 이 곳처럼 음식 잘 나오고 깔끔",5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,남가좌 러시안 주인 일가족이 구원파라던데 정말인가요?친구들 모임으로  종종갔는데! 정말인가요?,2,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,정말 비추입나다. 불친절은 둘째치구 음식자체 기본두 않되있어요 면은 너무 익힌건지 아니면 시금치등 기타 식물을 넣어 반죽한것이 엉망인지 푸석하구 깐풍기는 밀가루 반죽 투성이구 정말 다시갈데가 못되네요,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,ㅣㄱ당입니다,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,전 정말 맛잇게 먹었어요 깔끔하고 주인도 친절하시던데 애용하는 ㅅ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,손님 모시고 갔다 미안해서 혼나습니다 불친절에 맛도 그닥 ...,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,예전엔 참 친절했는데 손님 많아 지니까 배짱으로 변했네요 이제 안가려고요 음식도 다른집과 별 다른 차이가 없어요 ,1,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,우리동네 모임하기 딱 좋은 장소 강추입니다 친절하고 겸손한 젊은 사장님과 항상 미소로 응대하시는 직원들 덕분에 편안하게 식사할 수 있는 곳입니다.최고의 맛이라기보다는 최선의 맛이라 별을 반 개 뺐어요.ㅎㅎ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,이만한 곳 없다. ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,남친이랑 데이트맛집 찾다가 발견. 중국요리 만찬을 진짜 저렴하게 잘먹었네용. 다른데서 짜장면하고 탕수육먹을 비용으로 고급중국코스요리 먹은 느낌...ㅎㅎ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,우선은 인공조미료를 사용하지 않아서 맛이 참 깔끔했던 거 같아요. 음~~~  또 매장 인테리어도 일반 중식당과는 차원이 다르다는..... 전 갠적으로 두명이 식사할수 있는 룸이 너무 좋았던거 같아요. ㅋㅋㅋ ,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,맛이 깔끔하고 인테리어 분위기가 좋아서 강추★★★★★ ~~ ps. 사장님 인심과 직원분들 서비스가 최고 >.< ,4,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
락희안 명지대본점,,일반 중국집 안같이 맛이 깔끔하고 좋네요. 특히 이가탕면과 점심정식 강추~,5,"서울 서대문구 가재울로4길 53 1, 2층",꿔바로우
홍유단,2020.10.20.,마파두부덮밥 추천,5,부산 부산진구 부전로 34,꿔바로우
홍유단,2020.10.18.,깔끔하고 괜찮습니다,5,부산 부산진구 부전로 34,꿔바로우
